chip_start_seconds	        chip_end_seconds	        sensor_platform
2018-06-24 10:03:04.704000	2018-06-24 10:03:14.688000	adeon_en626_chb.amar493.4
2018-06-24 10:02:00.832000	2018-06-24 10:02:10.816000	adeon_en626_chb.amar493.4
2018-06-24 09:59:40.288000	2018-06-24 09:59:50.272000	adeon_en626_chb.amar493.4
2018-06-24 10:02:18.048000	2018-06-24 10:02:28.032000	adeon_en626_chb.amar493.4
2018-06-24 10:03:08.928000	2018-06-24 10:03:18.912000	adeon_en626_chb.amar493.4
2018-06-24 09:59:36.064000	2018-06-24 09:59:45.856000	adeon_en626_chb.amar493.4
2018-06-24 10:00:17.024000	2018-06-24 10:00:27.008000	adeon_en626_chb.amar493.4
2018-06-24 10:00:20.480000	2018-06-24 10:00:30.464000	adeon_en626_chb.amar493.4
2018-06-24 10:03:07.712000	2018-06-24 10:03:17.696000	adeon_en626_chb.amar493.4
2018-06-24 10:04:27.712000	2018-06-24 10:04:34.880000	adeon_en626_chb.amar493.4
2018-06-24 10:00:57.664000	2018-06-24 10:01:07.648000	adeon_en626_chb.amar493.4
2018-06-24 10:02:52.672000	2018-06-24 10:03:02.656000	adeon_en626_chb.amar493.4
2018-06-24 10:02:08.320000	2018-06-24 10:02:18.304000	adeon_en626_chb.amar493.4
2018-06-24 10:03:13.536000	2018-06-24 10:03:23.520000	adeon_en626_chb.amar493.4
2018-06-24 10:02:21.248000	2018-06-24 10:02:31.232000	adeon_en626_chb.amar493.4
2018-10-26 20:04:10.752000	2018-10-26 20:04:20.736000	adeon_en626_chb.amar493.4
2018-10-26 20:04:04.992000	2018-10-26 20:04:14.976000	adeon_en626_chb.amar493.4
2018-10-26 20:03:35.040000	2018-10-26 20:03:45.024000	adeon_en626_chb.amar493.4
2018-10-26 20:04:15.360000	2018-10-26 20:04:25.344000	adeon_en626_chb.amar493.4
2018-10-26 20:03:07.392000	2018-10-26 20:03:17.376000	adeon_en626_chb.amar493.4
2018-10-26 20:01:45.856000	2018-10-26 20:01:55.840000	adeon_en626_chb.amar493.4
2018-10-26 20:03:23.136000	2018-10-26 20:03:33.120000	adeon_en626_chb.amar493.4
2018-10-26 20:04:02.112000	2018-10-26 20:04:12.096000	adeon_en626_chb.amar493.4
2018-10-26 20:01:35.232000	2018-10-26 20:01:45.216000	adeon_en626_chb.amar493.4
2018-10-26 20:03:20.704000	2018-10-26 20:03:30.688000	adeon_en626_chb.amar493.4
2018-10-26 20:03:50.784000	2018-10-26 20:04:00.768000	adeon_en626_chb.amar493.4
2018-08-01 13:49:43.808000	2018-08-01 13:49:53.792000	adeon_en626_chb.amar493.4
2018-08-01 13:42:35.840000	2018-08-01 13:42:45.824000	adeon_en626_chb.amar493.4
2018-08-01 13:50:18.880000	2018-08-01 13:50:28.864000	adeon_en626_chb.amar493.4
